Applied Linguistics Review
Computer Assisted Language Learning
English for Specific Purposes
Intercultural Pragmatics
International Journal of Bilingualism
Journal of Communication Disorders
Journal of French Language Studies
Journal of Second Language Pronunciation
Language Culture and Curriculum
Language Teaching
Language and Intercultural Communication
Literacy
Metaphor and Symbol
Multilingua - Journal of Cross-Cultural and Interlanguage Communication
Porta Linguarum
Pragmatics and Society
ReCALL
Revista Española de Lingüística Aplicada /Spanish Journal of Applied Linguistics
Vial-Vigo International Journal of Applied Linguistics
World Englishes
